job_id,external_job_id,company,title,location,canonical_url,department,source_key,retrieved_at
microsoft:1970393556978354,1970393556978354,Microsoft,Senior Product Manager- M365 Messaging,"United States, Washington, Redmond",https://apply.careers.microsoft.com/careers/job/1970393556978354,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556982730,1970393556982730,Microsoft,Senior Product Manager- Agentic Security,"United States, Washington, Redmond",https://apply.careers.microsoft.com/careers/job/1970393556982730,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556962542,1970393556962542,Microsoft,Principal Product Management,"India, Karnataka, Bangalore",https://apply.careers.microsoft.com/careers/job/1970393556962542,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556939407,1970393556939407,Microsoft,Principal Product Manager - Azure Speech (CoreAI),"United States, Washington, Redmond",https://apply.careers.microsoft.com/careers/job/1970393556939407,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556982515,1970393556982515,Microsoft,Senior Product Manager - Microsoft 365 Network Platform,"United States, Washington, Redmond",https://apply.careers.microsoft.com/careers/job/1970393556982515,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556983195,1970393556983195,Microsoft,Senior Product Manager - AI Infrastructure,"United States, Multiple Locations, Multiple Locations",https://apply.careers.microsoft.com/careers/job/1970393556983195,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556980936,1970393556980936,Microsoft,"Senior Product Manager, Agent 365 Tools","United States, Washington, Redmond",https://apply.careers.microsoft.com/careers/job/1970393556980936,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556978896,1970393556978896,Microsoft,Product Management INTERN,"India, Multiple Locations, Multiple Locations",https://apply.careers.microsoft.com/careers/job/1970393556978896,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556944984,1970393556944984,Microsoft,Principal Product Manager,"India, Telangana, Hyderabad",https://apply.careers.microsoft.com/careers/job/1970393556944984,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
microsoft:1970393556960250,1970393556960250,Microsoft,"Senior Product Manager, Python and Java Developer Experiences","United States, Washington, Redmond | United States, California, Mountain View",https://apply.careers.microsoft.com/careers/job/1970393556960250,Product Management,microsoft,2026-09-23T08:27:32.934637+00:00
